symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
2Z,2026-07-04T21:52:50.437Z,2026-07-04T21:52:50.437917Z,2026-07-04T23:52:50.437917Z,7634.664494,7,0.069615,7.182360123535803,5.742459396751748,2.072,50.0,7.182360123535803,59.473703852086665,0,0,0,0,,
APE,2026-07-04T21:52:58.304Z,2026-07-04T21:52:58.304977Z,2026-07-04T23:52:58.304977Z,7626.797434,7,0.14615,6.842285323297228,3.2630863358259674,0.684,57.69230769230769,6.842285323297228,74.91628054796696,24,12,11,1,0.9167,False
BANANAS31,2026-07-04T21:53:12.921Z,2026-07-04T21:53:12.921579Z,2026-07-04T23:53:12.921579Z,7612.180832,7,0.008706,16.08086377211133,5.095978062157224,-0.353,53.49650349650349,16.08086377211133,56.39980066206779,0,0,0,0,,
BEAMX,2026-07-04T21:53:18.006Z,2026-07-04T21:53:18.007119Z,2026-07-04T23:53:18.007119Z,7607.095292,7,0.001568,12.755102040816638,13.691931540342301,11.825,49.3006993006993,12.755102040816638,65.80720648940427,0,0,0,0,,
ENSO,2026-07-04T21:53:56.507Z,2026-07-04T21:53:56.507797Z,2026-07-04T23:53:56.507797Z,7568.594614,7,0.6625000000000001,15.094339622641522,5.5223880597014965,2.134,46.50349650349651,15.094339622641522,77.29877584015773,1,0,1,0,1.0,False
HEMI,2026-07-04T21:54:21.666Z,2026-07-04T21:54:21.666986Z,2026-07-04T23:54:21.666986Z,7543.435425,7,0.004735,21.119324181627164,9.583333333333341,-6.433,58.04195804195804,21.119324181627164,59.98455128035145,0,0,0,0,,
IOTA,2026-07-04T21:54:33.136Z,2026-07-04T21:54:33.136446Z,2026-07-04T23:54:33.136446Z,7531.965965,7,0.039349999999999996,25.412960609910023,6.045340050377832,1.535,54.89510489510489,25.412960609910023,70.43870531612122,0,0,0,0,,
NEIRO,2026-07-04T21:54:51.232Z,2026-07-04T21:54:51.232930Z,2026-07-04T23:54:51.232930Z,7513.869481,7,6.529499999999999e-05,19.90964086070916,5.116981132075481,1.97,52.7972027972028,19.90964086070916,68.43107086948537,1,1,0,0,1.0,False
NEO,2026-07-04T21:54:58.856Z,2026-07-04T21:54:58.857093Z,2026-07-04T23:54:58.857093Z,7506.245318,7,1.9995,5.001250312577593,2.976190476190479,0.951,48.95104895104895,5.001250312577593,46.81740063543213,3,2,0,1,0.3333,False
ONT,2026-07-04T21:55:05.321Z,2026-07-04T21:55:05.322113Z,2026-07-04T23:55:05.322113Z,7499.780298,7,0.046125,15.17615176151775,4.696673189823879,2.565,45.80419580419581,15.17615176151775,71.16196141278171,17,3,13,1,0.4118,False
OPEN,2026-07-04T21:55:13.761Z,2026-07-04T21:55:13.762068Z,2026-07-04T23:55:13.762068Z,7491.340343,7,0.17275000000000001,17.366136034731966,10.722748815165863,6.431,47.2027972027972,17.366136034731966,65.23960891721946,3,1,1,1,1.0,False
ORDI,2026-07-04T21:55:32.061Z,2026-07-04T21:55:32.062130Z,2026-07-04T23:55:32.062130Z,7473.040281,7,3.4525,8.689355539464485,4.574406485234521,-1.931,48.25174825174825,8.689355539464485,60.75700514417035,8,3,1,4,-0.25,False
QNT,2026-07-04T21:55:39.792Z,2026-07-04T21:55:39.792562Z,2026-07-04T23:55:39.792562Z,7465.309849,7,68.17,17.603051195541227,2.218978102189775,0.308,48.6013986013986,17.603051195541227,55.15492942846771,66,10,48,8,-0.0455,False
SAND,2026-07-04T21:55:55.141Z,2026-07-04T21:55:55.141836Z,2026-07-04T23:55:55.141836Z,7449.960575,7,0.05049,7.922360863537011,4.021184778344441,-0.507,46.15384615384615,7.922360863537011,68.76772359012007,36,17,17,2,0.1111,False
STX,2026-07-04T21:56:08.404Z,2026-07-04T21:56:08.404299Z,2026-07-04T23:56:08.404299Z,7436.698112,7,0.17325000000000002,5.772005772006738,4.4469783352337515,2.274,51.74825174825175,5.772005772006738,77.25432449431949,56,28,26,2,0.2143,False
TOWNS,2026-07-04T21:56:13.886Z,2026-07-04T21:56:13.886939Z,2026-07-04T23:56:13.886939Z,7431.215472,7,0.002125,47.05882352941188,8.530805687203793,4.455,52.0979020979021,47.05882352941188,70.97868476708315,0,0,0,0,,
VANA,2026-07-04T21:56:31.073Z,2026-07-04T21:56:31.073671Z,2026-07-04T23:56:31.073671Z,7414.02874,7,1.1715,8.536064874092103,3.829787234042566,-0.76,44.40559440559441,8.536064874092103,50.703505292707526,0,0,0,0,,
ZEN,2026-07-04T21:56:50.445Z,2026-07-04T21:56:50.445463Z,2026-07-04T23:56:50.445463Z,7394.656948,7,4.3185,6.946856547412559,4.342830882352942,0.276,50.34965034965035,6.946856547412559,71.29845871249692,0,0,0,0,,
BANANA,2026-07-04T22:02:38.947Z,2026-07-04T22:02:38.947574Z,2026-07-05T00:02:38.947574Z,7644.404138,7,3.0885,9.713453132587565,6.1165048543689196,0.032,36.71328671328671,9.713453132587565,56.156365651670605,10,9,0,1,-0.1,False
BERA,2026-07-04T22:02:46.595Z,2026-07-04T22:02:46.595926Z,2026-07-05T00:02:46.595926Z,7636.755786,7,0.2155,46.4037122969838,3.7558685446009425,-1.843,42.65734265734266,46.4037122969838,55.104895261390446,2,0,1,1,0.0,False
BOME,2026-07-04T22:02:54.208Z,2026-07-04T22:02:54.208255Z,2026-07-05T00:02:54.208255Z,7629.143457,7,0.00043904999999999997,11.388224575788913,4.772524531668148,1.288,30.76923076923077,11.388224575788913,64.21566552305728,2,2,0,0,1.0,False
