symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
1MBABYDOGE,2026-07-11T21:53:06.937Z,2026-07-11T21:53:06.937308Z,2026-07-11T23:53:06.937308Z,7617.90927,7,0.00032245,15.50628004341628,16.471620830895265,15.123,70.07042253521126,15.50628004341628,72.52096932406795,0,0,0,0,,
APE,2026-07-11T21:53:20.749Z,2026-07-11T21:53:20.750069Z,2026-07-11T23:53:20.750069Z,7604.096509,7,0.15560000000000002,12.853470437018363,6.8441064638783295,-0.063,69.71830985915493,12.853470437018363,68.57249667932206,3,2,1,0,1.0,False
ATOM,2026-07-11T21:53:28.366Z,2026-07-11T21:53:28.367039Z,2026-07-11T23:53:28.367039Z,7596.479539,7,1.5805,6.32711167352034,1.933873986275742,0.818,67.6056338028169,6.32711167352034,71.81836285610946,61,16,41,4,0.1475,False
BIO,2026-07-11T21:53:44.716Z,2026-07-11T21:53:44.716290Z,2026-07-11T23:53:44.716290Z,7580.130288,7,0.028665,10.46572475143982,4.013605442176873,3.303,61.971830985915496,10.46572475143982,76.23743812058957,0,0,0,0,,
CAKE,2026-07-11T21:53:50.133Z,2026-07-11T21:53:50.133554Z,2026-07-11T23:53:50.133554Z,7574.713024,7,1.424,14.044943820224733,3.8647342995169116,3.648,71.47887323943662,14.044943820224733,68.77734211988205,0,0,0,0,,
CFX,2026-07-11T21:53:55.935Z,2026-07-11T21:53:55.935607Z,2026-07-11T23:53:55.935607Z,7568.910971,7,0.043789999999999996,4.567252797442152,5.935769656699893,5.318,61.61971830985915,4.567252797442152,53.776223912510154,0,0,0,0,,
EGLD,2026-07-11T21:54:09.202Z,2026-07-11T21:54:09.203200Z,2026-07-11T23:54:09.203200Z,7555.643378,7,2.915,34.305317324184514,4.1379310344827624,2.113,58.45070422535211,34.305317324184514,71.11921518335868,2,0,2,0,1.0,False
EIGEN,2026-07-11T21:54:16.298Z,2026-07-11T21:54:16.299034Z,2026-07-11T23:54:16.299034Z,7548.547544,7,0.22585,4.427717511622271,5.808080808080811,-0.042,70.4225352112676,4.427717511622271,64.02290176228652,1,1,0,0,1.0,False
ENSO,2026-07-11T21:54:23.484Z,2026-07-11T21:54:23.485221Z,2026-07-11T23:54:23.485221Z,7541.361357,7,0.6884999999999999,14.524328249818462,4.707560627674755,-0.426,58.80281690140845,14.524328249818462,51.18068292035545,0,0,0,0,,
ETHFI,2026-07-11T21:54:34.446Z,2026-07-11T21:54:34.447043Z,2026-07-11T23:54:34.447043Z,7530.399535,7,0.4135,24.183796856106433,8.139534883720925,5.392,70.77464788732394,24.183796856106433,67.28917844067007,3,2,1,0,1.0,False
FET,2026-07-11T21:54:44.759Z,2026-07-11T21:54:44.759644Z,2026-07-11T23:54:44.759644Z,7520.086934,7,0.15845,6.311139160617796,2.024539877300612,1.179,71.83098591549296,6.311139160617796,73.94302457253639,4,3,1,0,0.5,False
