symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
BANANA,2026-05-30T21:54:26.238Z,2026-05-30T21:54:26.238534Z,2026-05-30T23:54:26.238534Z,7537.826166,7,3.6369999999999996,10.998075336816068,3.2831737346101266,1.924,17.24137931034483,10.998075336816068,53.47298628767539,1,1,0,0,1.0,False
BLUR,2026-05-30T21:54:33.703Z,2026-05-30T21:54:33.703901Z,2026-05-30T23:54:33.703901Z,7530.360799,7,0.021124999999999998,23.668639053253475,3.847958704833418,1.573,11.379310344827585,23.668639053253475,64.04337204728111,12,4,0,8,0.8333,False
COMP,2026-05-30T21:54:40.630Z,2026-05-30T21:54:40.630691Z,2026-05-30T23:54:40.630691Z,7523.434009,7,18.265,27.37476047084627,5.89189189189191,4.108,14.482758620689655,27.37476047084627,71.14770062719231,65,29,27,9,0.2308,False
COW,2026-05-30T21:54:54.353Z,2026-05-30T21:54:54.353622Z,2026-05-30T23:54:54.353622Z,7509.711078,7,0.15875,44.09448818897502,2.996254681647939,-0.187,6.896551724137931,44.09448818897502,41.77657039853138,4,2,1,1,1.0,False
CVX,2026-05-30T21:55:01.266Z,2026-05-30T21:55:01.266293Z,2026-05-30T23:55:01.266293Z,7502.798407,7,1.5805,18.981335020563833,2.9671717171717127,1.085,9.655172413793103,18.981335020563833,56.26225167372417,26,17,5,4,0.8077,False
DOLO,2026-05-30T21:55:14.779Z,2026-05-30T21:55:14.779496Z,2026-05-30T23:55:14.779496Z,7489.285204,7,0.03039,13.162224415925756,3.1475409836065658,0.0,5.862068965517241,13.162224415925756,39.03007497567259,0,0,0,0,,
GMX,2026-05-30T21:55:28.169Z,2026-05-30T21:55:28.170010Z,2026-05-30T23:55:28.170010Z,7475.89469,7,6.79,29.455081001472124,8.100147275405005,7.949,15.172413793103448,29.455081001472124,67.0111770011853,0,0,0,0,,
HIVE,2026-05-30T21:55:42.884Z,2026-05-30T21:55:42.885120Z,2026-05-30T23:55:42.885120Z,7461.17958,7,0.05815,17.1969045571802,2.214650766609873,1.382,5.172413793103448,17.1969045571802,53.464281796551305,4,3,1,0,1.0,False
HOLO,2026-05-30T21:55:49.744Z,2026-05-30T21:55:49.744778Z,2026-05-30T23:55:49.744778Z,7454.319922,7,0.07345,13.614703880189106,3.265306122448979,-0.407,12.758620689655173,13.614703880189106,67.33049605322283,14,7,1,6,0.5714,False
LA,2026-05-30T21:56:03.858Z,2026-05-30T21:56:03.859305Z,2026-05-30T23:56:03.859305Z,7440.205395,7,0.10605,47.14757190004718,4.115996258185222,-2.016,10.0,47.14757190004718,46.694467152032466,0,0,0,0,,
NOT,2026-05-30T21:56:28.485Z,2026-05-30T21:56:28.485703Z,2026-05-30T23:56:28.485703Z,7415.578997,7,0.0004445,22.497187851517886,3.539823008849548,2.494,13.793103448275861,22.497187851517886,54.99785513634147,0,0,0,0,,
PEOPLE,2026-05-30T21:56:35.534Z,2026-05-30T21:56:35.534952Z,2026-05-30T23:56:35.534952Z,7408.529748,7,0.006365,15.710919088766053,3.5881435257410326,2.07,13.448275862068966,15.710919088766053,68.99451868664262,0,0,0,0,,
REZ,2026-05-30T21:56:43.076Z,2026-05-30T21:56:43.077226Z,2026-05-30T23:56:43.077226Z,7400.987474,7,0.003995,25.031289111390386,3.2418952618454058,-0.496,11.724137931034482,25.031289111390386,45.60151758951344,23,5,8,10,0.4348,False
RPL,2026-05-30T21:56:49.990Z,2026-05-30T21:56:49.990781Z,2026-05-30T23:56:49.990781Z,7394.073919,7,1.6150000000000002,61.919504643962895,4.294478527607352,3.165,14.827586206896552,61.919504643962895,54.487475158553636,2,2,0,0,1.0,False
RVN,2026-05-30T21:56:57.668Z,2026-05-30T21:56:57.668398Z,2026-05-30T23:56:57.668398Z,7386.396302,7,0.005215,57.52636625119945,2.6666666666666736,2.14,12.413793103448276,57.52636625119945,57.409632409673954,0,0,0,0,,
SIGN,2026-05-30T21:57:04.783Z,2026-05-30T21:57:04.783298Z,2026-05-30T23:57:04.783298Z,7379.281402,7,0.01165,17.167381974249714,2.8253424657534287,-1.435,11.03448275862069,17.167381974249714,46.39603296541748,0,0,0,0,,
SKL,2026-05-30T21:57:13.057Z,2026-05-30T21:57:13.057618Z,2026-05-30T23:57:13.057618Z,7371.007082,7,0.0057599999999999995,34.722222222222314,3.4129692832764595,2.807,15.862068965517242,34.722222222222314,71.47675599126828,10,3,1,6,0.7,False
SOPH,2026-05-30T21:57:20.020Z,2026-05-30T21:57:20.021048Z,2026-05-30T23:57:20.021048Z,7364.043652,7,0.007464999999999999,13.395847287341542,4.8941798941798895,2.3,15.517241379310345,13.395847287341542,52.72572639361978,0,0,0,0,,
STEEM,2026-05-30T21:57:27.787Z,2026-05-30T21:57:27.787862Z,2026-05-30T23:57:27.787862Z,7356.276838,7,0.05055,7.912957467853288,1.5578781305462415,0.936,4.482758620689655,7.912957467853288,54.0605589402235,0,0,0,0,,
SYN,2026-05-30T21:57:34.733Z,2026-05-30T21:57:34.733470Z,2026-05-30T23:57:34.733470Z,7349.33123,7,0.044050000000000006,68.10442678774156,7.6576576576576585,3.497,16.551724137931036,68.10442678774156,44.79213943155357,0,0,0,0,,
T,2026-05-30T21:57:42.901Z,2026-05-30T21:57:42.902041Z,2026-05-30T23:57:42.902041Z,7341.162659,7,0.004815,62.305295950156825,2.4844720496894475,1.258,4.827586206896552,62.305295950156825,50.25349122540398,0,0,0,0,,
VANA,2026-05-30T21:57:55.250Z,2026-05-30T21:57:55.250867Z,2026-05-30T23:57:55.250867Z,7328.813833,7,1.4085,7.099751508697989,5.981703026037999,2.083,14.137931034482758,7.099751508697989,50.486539115843854,0,0,0,0,,
VELODROME,2026-05-30T21:58:03.190Z,2026-05-30T21:58:03.190347Z,2026-05-30T23:58:03.190347Z,7320.874353,7,0.015969999999999998,25.04696305573065,3.6532507739938094,1.7,10.689655172413794,25.04696305573065,67.32661160804274,0,0,0,0,,
YB,2026-05-30T21:58:22.941Z,2026-05-30T21:58:22.941454Z,2026-05-30T23:58:22.941454Z,7301.123246,7,0.10065,29.80625931445551,7.5936883629191305,-1.649,12.068965517241379,29.80625931445551,58.09630555596375,1,1,0,0,1.0,False
ADA,2026-05-30T22:04:02.971Z,2026-05-30T22:04:02.972229Z,2026-05-31T00:04:02.972229Z,7560.492814,7,0.23554999999999998,4.2453831458296225,3.2434709351305746,2.02,91.72413793103448,4.2453831458296225,56.122749114802446,37,18,16,3,0.4865,False
ASTER,2026-05-30T22:04:16.943Z,2026-05-30T22:04:16.943777Z,2026-05-31T00:04:16.943777Z,7546.521266,7,0.7555000000000001,13.236267372600937,12.499999999999996,12.76,91.37931034482759,13.236267372600937,68.07667616223719,38,18,17,3,0.2895,False
BNB,2026-05-30T22:04:34.839Z,2026-05-30T22:04:34.839885Z,2026-05-31T00:04:34.839885Z,7528.625158,7,721.665,0.13856844934964155,11.574041872435146,12.073,99.3103448275862,0.13856844934964155,73.0929663550134,46,31,11,4,0.4565,False
BTC,2026-05-30T22:04:40.092Z,2026-05-30T22:04:40.093139Z,2026-05-31T00:04:40.093139Z,7523.371904,7,73808.095,0.0013548649385021012,1.2466070022272735,0.406,100.0,0.0013548649385021012,59.57230280778434,18,5,11,2,0.3889,False
