symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
SNX,2026-01-17T21:55:11.021Z,2026-01-17T21:55:11.021454Z,2026-01-17T23:55:11.021454Z,7795.055299,7,0.4885,20.470829068577295,7.27272727272728,5.319,50.175438596491226,20.470829068577295,73.27084603786105,6,3,2,1,0.8333,False
TLM,2026-01-17T21:55:30.511Z,2026-01-17T21:55:30.512114Z,2026-01-17T23:55:30.512114Z,7775.564639,7,0.002545,15.717092337916164,6.319845857418114,3.758,45.26315789473684,15.717092337916164,68.27758876005531,0,0,0,0,,
TWT,2026-01-17T21:55:50.582Z,2026-01-17T21:55:50.582840Z,2026-01-17T23:55:50.582840Z,7755.493913,7,0.9434,21.199915200339216,2.911085328551836,-0.305,54.3859649122807,21.199915200339216,54.27311006734995,9,4,4,1,0.4444,False
VANRY,2026-01-17T21:55:59.501Z,2026-01-17T21:55:59.501309Z,2026-01-17T23:55:59.501309Z,7746.575444,7,0.009000000000000001,222.2222222222228,6.741573033707864,5.952,45.6140350877193,222.2222222222228,66.00150365241976,41,1,40,0,0.8049,False
W,2026-01-17T21:56:08.344Z,2026-01-17T21:56:08.344618Z,2026-01-17T23:56:08.344618Z,7737.732135,7,0.03635,27.510316368639028,3.2697547683923696,0.824,46.666666666666664,27.510316368639028,66.80892713226355,19,9,8,2,1.0,False
WAL,2026-01-17T21:56:17.027Z,2026-01-17T21:56:17.027964Z,2026-01-17T23:56:17.027964Z,7729.048789,7,0.15585,6.41642605069084,3.802281368821296,-1.682,51.578947368421055,6.41642605069084,69.57902184795492,30,14,16,0,0.8333,False
ZBT,2026-01-17T21:56:26.220Z,2026-01-17T21:56:26.220851Z,2026-01-17T23:56:26.220851Z,7719.855902,7,0.10515,9.510223490252294,3.2196969696969697,-1.216,48.421052631578945,9.510223490252294,51.30555679418991,0,0,0,0,,
BOME,2026-01-17T22:02:32.573Z,2026-01-17T22:02:32.574056Z,2026-01-18T00:02:32.574056Z,7353.502697,7,0.000665,30.075187969925544,3.42261904761905,-0.739,41.40350877192982,30.075187969925544,61.715660741433105,8,3,3,2,0.75,False
CETUS,2026-01-17T22:02:42.260Z,2026-01-17T22:02:42.260450Z,2026-01-18T00:02:42.260450Z,7343.816303,7,0.027749999999999997,36.036036036035824,3.2028469750889736,1.812,31.92982456140351,36.036036036035824,66.07994248431467,0,0,0,0,,
CVX,2026-01-17T22:02:50.399Z,2026-01-17T22:02:50.400013Z,2026-01-18T00:02:50.400013Z,7335.67674,7,2.1015,14.275517487509463,10.854176498348297,5.005,43.85964912280702,14.275517487509463,47.40839202425533,20,7,12,1,0.6,False
DOGS,2026-01-17T22:02:57.949Z,2026-01-17T22:02:57.949526Z,2026-01-18T00:02:57.949526Z,7328.127227,7,4.6649999999999996e-05,21.436227224007645,5.47368421052632,1.496,32.63157894736842,21.436227224007645,56.089942111078386,3,2,1,0,1.0,False
GPS,2026-01-17T22:03:28.951Z,2026-01-17T22:03:28.951935Z,2026-01-18T00:03:28.951935Z,7297.124818,7,0.006,33.33333333333342,5.123966942148753,1.852,33.333333333333336,33.33333333333342,60.92377592707451,0,0,0,0,,
HUMA,2026-01-17T22:03:46.540Z,2026-01-17T22:03:46.541263Z,2026-01-18T00:03:46.541263Z,7279.53549,7,0.027165,18.406037180194353,5.484925535779141,-0.864,38.94736842105263,18.406037180194353,57.99864783424224,3,3,0,0,0.6667,False
KITE,2026-01-17T22:04:02.063Z,2026-01-17T22:04:02.063914Z,2026-01-18T00:04:02.063914Z,7264.012839,7,0.09345,32.10272873194313,2.3379383634431536,0.106,31.228070175438596,32.10272873194313,62.87144236727452,0,0,0,0,,
