symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
SOL,2026-01-10T22:08:34.033Z,2026-01-10T22:08:34.035878Z,2026-01-11T00:08:34.035878Z,7726.069054,7,136.235,0.7340257643057456,1.4545988833382233,0.882,98.58657243816255,0.7340257643057456,55.539401658844774,55,24,28,3,,False
AAVE,2026-01-10T22:09:15.950Z,2026-01-10T22:09:15.950322Z,2026-01-11T00:09:15.950322Z,7684.15461,7,165.015,3.030027573249883,2.3300736448146715,0.522,84.80565371024736,3.030027573249883,62.25249291223437,8,2,4,2,,False
ACH,2026-01-10T22:09:20.618Z,2026-01-10T22:09:20.618493Z,2026-01-11T00:09:20.618493Z,7679.486439,7,0.009825,30.534351145038688,9.538152610441761,3.106,72.43816254416961,30.534351145038688,49.06189579787914,1,0,1,0,,False
ALGO,2026-01-10T22:09:23.145Z,2026-01-10T22:09:23.145544Z,2026-01-11T00:09:23.145544Z,7676.959388,7,0.13345,7.493443237168733,3.4099332839140053,1.811,79.15194346289752,7.493443237168733,69.04381098554033,25,11,12,2,,False
APT,2026-01-10T22:09:25.615Z,2026-01-10T22:09:25.615792Z,2026-01-11T00:09:25.615792Z,7674.48914,7,1.8105,5.523336095000773,2.1905805038335178,1.444,85.15901060070671,5.523336095000773,74.69154670566633,53,23,28,2,,False
AR,2026-01-10T22:09:29.894Z,2026-01-10T22:09:29.895179Z,2026-01-11T00:09:29.895179Z,7670.209753,7,3.7350000000000003,26.773761713521363,3.6649214659685785,1.058,73.4982332155477,26.773761713521363,72.63068366156621,0,0,0,0,,
ARB,2026-01-10T22:09:32.337Z,2026-01-10T22:09:32.337865Z,2026-01-11T00:09:32.337865Z,7667.767067,7,0.20675,4.836759371222092,3.999999999999996,1.942,81.2720848056537,4.836759371222092,64.20978026414768,53,32,16,5,,False
CAKE,2026-01-10T22:09:38.566Z,2026-01-10T22:09:38.567151Z,2026-01-11T00:09:38.567151Z,7661.537781,7,2.0465,4.8863913999527675,6.426858513189444,6.541,73.85159010600707,4.8863913999527675,73.2741188270734,22,7,14,1,,False
CHZ,2026-01-10T22:09:40.952Z,2026-01-10T22:09:40.952647Z,2026-01-11T00:09:40.952647Z,7659.152285,7,0.050375,21.836228287842367,13.081861958266462,12.404,79.50530035335689,21.836228287842367,69.04701270333493,26,14,11,1,,False
DASH,2026-01-10T22:09:48.979Z,2026-01-10T22:09:48.980121Z,2026-01-11T00:09:48.980121Z,7651.124811,7,37.28,21.4592274678107,3.934077618288155,-0.948,72.08480565371025,21.4592274678107,67.86152810258315,7,5,1,1,,False
DOT,2026-01-10T22:09:51.490Z,2026-01-10T22:09:51.491168Z,2026-01-11T00:09:51.491168Z,7648.613764,7,2.0905,4.783544606555053,3.064592173503062,2.612,83.39222614840989,4.783544606555053,66.03093161702073,31,17,13,1,,False
DYDX,2026-01-10T22:09:53.923Z,2026-01-10T22:09:53.923958Z,2026-01-11T00:09:53.923958Z,7646.180974,7,0.20345,4.915212582943671,10.669856459330138,7.455,73.14487632508833,4.915212582943671,66.13127186611233,4,2,2,0,,False
