symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
1000CAT,2026-01-03T21:53:34.716Z,2026-01-03T21:53:34.716662Z,2026-01-03T23:53:34.716662Z,7610.057579,7,0.0030350000000000004,32.94892915980239,5.666666666666667,-1.316,16.428571428571427,32.94892915980239,44.398345958949164,61,16,44,1,0.5738,False
1000CHEEMS,2026-01-03T21:53:40.411Z,2026-01-03T21:53:40.411286Z,2026-01-03T23:53:40.411286Z,7604.362955,7,0.0009435,52.9941706412296,2.8632025450689293,-0.945,25.714285714285715,52.9941706412296,58.22610843635482,30,7,22,1,0.2333,False
A,2026-01-03T21:53:46.846Z,2026-01-03T21:53:46.846266Z,2026-01-03T23:53:46.846266Z,7597.927975,7,0.17320000000000002,11.547344110854834,4.456018518518525,1.349,17.5,11.547344110854834,67.87049555685893,1,1,0,0,0.0,False
ACX,2026-01-03T21:53:53.358Z,2026-01-03T21:53:53.358776Z,2026-01-03T23:53:53.358776Z,7591.415465,7,0.05345,18.709073900841148,4.690431519699816,-0.187,27.5,18.709073900841148,66.05920913045306,38,12,23,3,0.3158,False
AXS,2026-01-03T21:54:00.377Z,2026-01-03T21:54:00.377552Z,2026-01-03T23:54:00.377552Z,7584.396689,7,0.916,21.8340611353712,4.746136865342168,0.11,19.642857142857142,21.8340611353712,63.116151527817856,31,1,30,0,0.3548,False
BABY,2026-01-03T21:54:07.105Z,2026-01-03T21:54:07.105123Z,2026-01-03T23:54:07.105123Z,7577.669118,7,0.017395,28.74389192296719,4.794916233391088,0.464,18.571428571428573,28.74389192296719,71.11235496313061,7,2,5,0,1.0,True
BEAMX,2026-01-03T21:54:14.520Z,2026-01-03T21:54:14.520702Z,2026-01-03T23:54:14.520702Z,7570.253539,7,0.0029585,10.140273787392138,5.316973415132935,-0.509,24.285714285714285,10.140273787392138,62.26603582907361,0,0,0,0,,
BMT,2026-01-03T21:54:20.612Z,2026-01-03T21:54:20.612926Z,2026-01-03T23:54:20.612926Z,7564.161315,7,0.02495,40.080160320642435,4.819277108433734,0.0,15.357142857142858,40.080160320642435,61.807157468842824,14,14,0,0,0.8571,False
COMP,2026-01-03T21:54:26.752Z,2026-01-03T21:54:26.753053Z,2026-01-03T23:54:26.753053Z,7558.021188,7,26.43,37.835792659856764,2.995391705069129,0.93,24.642857142857142,37.835792659856764,51.4437289148809,33,10,22,1,0.8182,False
ERA,2026-01-03T21:54:32.637Z,2026-01-03T21:54:32.638043Z,2026-01-03T23:54:32.638043Z,7552.136198,7,0.2086,9.587727708533352,3.5265700483091793,-0.672,17.142857142857142,9.587727708533352,48.24568938163185,18,1,17,0,0.8889,True
EUL,2026-01-03T21:54:38.910Z,2026-01-03T21:54:38.910413Z,2026-01-03T23:54:38.910413Z,7545.863828,7,3.073,6.5082980800513495,3.244646333549646,0.653,16.071428571428573,6.5082980800513495,66.45351889178099,4,0,3,1,-0.25,False
FLUX,2026-01-03T21:54:44.964Z,2026-01-03T21:54:44.964327Z,2026-01-03T23:54:44.964327Z,7539.809914,7,0.10905000000000001,9.170105456213008,5.7460611677479125,1.985,23.928571428571427,9.170105456213008,65.57146924188795,1,1,0,0,0.0,False
FORM,2026-01-03T21:54:51.500Z,2026-01-03T21:54:51.501068Z,2026-01-03T23:54:51.501068Z,7533.273173,7,0.36515,13.693002875530617,8.171206225680928,-2.467,28.571428571428573,13.693002875530617,62.77807184767803,0,0,0,0,,
HIVE,2026-01-03T21:55:01.495Z,2026-01-03T21:55:01.495212Z,2026-01-03T23:55:01.495212Z,7523.279029,7,0.0989,20.222446916077423,3.6622583926754895,0.409,15.714285714285714,20.222446916077423,64.3622016760432,2,1,1,0,1.0,False
IDEX,2026-01-03T21:55:08.237Z,2026-01-03T21:55:08.237689Z,2026-01-03T23:55:08.237689Z,7516.536552,7,0.009125000000000001,120.54794520548022,9.54994511525795,-1.726,23.214285714285715,120.54794520548022,57.306762082223905,6,3,3,0,1.0,False
JUV,2026-01-03T21:55:14.869Z,2026-01-03T21:55:14.869917Z,2026-01-03T23:55:14.869917Z,7509.904324,7,0.749,26.702269692923924,4.685408299866135,0.0,18.928571428571427,26.702269692923924,59.00459566213663,43,1,38,4,0.4186,False
KAIA,2026-01-03T21:55:21.570Z,2026-01-03T21:55:21.570138Z,2026-01-03T23:55:21.570138Z,7503.204103,7,0.05875,17.021276595743988,2.551020408163268,0.685,26.428571428571427,17.021276595743988,53.72665877979457,0,0,0,0,,
