symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
COW,2026-08-08T21:50:13.810Z,2026-08-08T21:50:13.810594Z,2026-08-08T23:50:13.810594Z,7792.207443,7,0.1069,18.709073900841148,2.8917910447761113,1.323,8.02919708029197,18.709073900841148,63.31320881218515,0,0,0,0,,False
CVX,2026-08-08T21:50:22.391Z,2026-08-08T21:50:22.392183Z,2026-08-08T23:50:22.392183Z,7783.625854,7,1.5234999999999999,32.81916639317437,4.672897196261686,1.835,8.394160583941606,32.81916639317437,51.55385347714665,2,2,0,0,1.0,False
ENJ,2026-08-08T21:50:35.846Z,2026-08-08T21:50:35.847145Z,2026-08-08T23:50:35.847145Z,7770.170892,7,0.02544,15.723270440250932,1.5729453401494204,1.194,12.408759124087592,15.723270440250932,67.43898866392901,56,12,38,6,-0.0536,False
MANTA,2026-08-08T21:51:26.468Z,2026-08-08T21:51:26.469132Z,2026-08-08T23:51:26.469132Z,7719.548905,7,0.05945,13.456686291001459,4.129595433943255,2.902,6.934306569343065,13.456686291001459,56.07696285327793,0,0,0,0,,False
PROVE,2026-08-08T21:51:52.136Z,2026-08-08T21:51:52.136342Z,2026-08-08T23:51:52.136342Z,7693.881695,7,0.1563,12.79590531030107,3.262955854126676,2.761,6.569343065693431,12.79590531030107,68.68980374384871,0,0,0,0,,False
XRP,2026-08-08T21:52:41.212Z,2026-08-08T21:52:41.212547Z,2026-08-08T23:52:41.212547Z,7644.80549,7,1.03885,0.9626028781824998,2.830550758011906,1.628,98.17518248175182,0.9626028781824998,71.07750780547916,33,20,8,5,0.4242,False
YB,2026-08-08T21:52:49.264Z,2026-08-08T21:52:49.265058Z,2026-08-08T23:52:49.265058Z,7636.752979,7,0.07189999999999999,27.81641168289178,4.0787623066104075,4.252,3.6496350364963503,27.81641168289178,59.62725714986383,0,0,0,0,,False
AAVE,2026-08-08T21:58:23.214Z,2026-08-08T21:58:23.214626Z,2026-08-08T23:58:23.214626Z,7302.803411,7,91.185,1.0966716016878768,2.7032942979095966,1.297,86.13138686131387,1.0966716016878768,62.27927116617161,3,1,0,2,0.3333,False
ALLO,2026-08-08T21:58:36.016Z,2026-08-08T21:58:36.017162Z,2026-08-08T23:58:36.017162Z,7290.000875,7,0.31820000000000004,6.285355122565477,9.4333936106088,3.172,91.97080291970804,6.285355122565477,61.08416983154559,65,4,53,8,-0.4462,False
BABY,2026-08-08T21:58:52.101Z,2026-08-08T21:58:52.101612Z,2026-08-08T23:58:52.101612Z,7273.916425,7,0.012515,7.990411506192244,11.955661124307198,7.765,94.16058394160584,7.990411506192244,75.3497348256879,0,0,0,0,,False
GIGGLE,2026-08-08T21:59:17.515Z,2026-08-08T21:59:17.516142Z,2026-08-08T23:59:17.516142Z,7248.501895,7,35.94,11.129660545353131,12.838959601549533,6.263,88.68613138686132,11.129660545353131,84.26506085843899,5,4,1,0,1.0,False
ICP,2026-08-08T21:59:28.908Z,2026-08-08T21:59:28.909196Z,2026-08-08T23:59:28.909196Z,7237.108841,7,2.1975,4.550625711034767,7.57097791798106,5.969,95.62043795620438,4.550625711034767,78.16735715100057,15,8,5,2,0.6,False
PENGU,2026-08-08T22:00:01.849Z,2026-08-08T22:00:01.849745Z,2026-08-09T00:00:01.849745Z,7204.168292,7,0.006307,6.3421595053124005,6.817467797675154,5.994,94.52554744525547,6.3421595053124005,69.12579227157447,8,3,3,2,0.5,False
PEPE,2026-08-08T22:00:10.819Z,2026-08-08T22:00:10.820340Z,2026-08-09T00:00:10.820340Z,7795.134198,7,2.8549999999999998e-06,35.02626970227786,3.1468531468531467,1.06,87.22627737226277,35.02626970227786,63.97239799051644,31,29,0,2,0.9032,False
PUMP,2026-08-08T22:00:17.535Z,2026-08-08T22:00:17.535309Z,2026-08-09T00:00:17.535309Z,7788.419229,7,0.002428,8.23723228995167,7.220822837951313,4.017,89.41605839416059,8.23723228995167,68.0937814274405,14,14,0,0,0.5714,False
TAO,2026-08-08T22:00:39.942Z,2026-08-08T22:00:39.942645Z,2026-08-09T00:00:39.942645Z,7766.011893,7,204.05,4.900759617740471,3.6345280161534523,2.272,90.87591240875912,4.900759617740471,64.4958746825799,14,8,3,3,0.4286,False
TST,2026-08-08T22:00:50.373Z,2026-08-08T22:00:50.373597Z,2026-08-09T00:00:50.373597Z,7755.580941,7,0.016815,29.735355337497136,30.991464215364424,14.082,87.95620437956204,29.735355337497136,71.30715016370823,1,0,1,0,1.0,False
ALGO,2026-08-08T22:06:53.563Z,2026-08-08T22:06:53.563847Z,2026-08-09T00:06:53.563847Z,7392.390691,7,0.08754999999999999,11.422044545974057,3.5469107551487475,-1.019,75.54744525547446,11.422044545974057,52.54329037218542,5,3,1,1,0.6,False
ARB,2026-08-08T22:07:01.723Z,2026-08-08T22:07:01.723796Z,2026-08-09T00:07:01.723796Z,7384.230742,7,0.07805000000000001,12.812299807815869,2.2813688212927707,-0.127,75.18248175182482,12.812299807815869,67.53656283093173,12,7,3,2,0.75,False
ATOM,2026-08-08T22:07:08.365Z,2026-08-08T22:07:08.365530Z,2026-08-09T00:07:08.365530Z,7377.589008,7,1.3835,7.228044813877051,3.607503607503595,2.439,80.65693430656934,7.228044813877051,70.42116044620246,63,15,43,5,0.3492,False
BANK,2026-08-08T22:07:15.892Z,2026-08-08T22:07:15.892448Z,2026-08-09T00:07:15.892448Z,7370.06209,7,0.04025,24.84472049689512,8.000000000000004,-3.148,79.1970802919708,24.84472049689512,66.03260631347838,1,0,1,0,0.0,False
BCH,2026-08-08T22:07:21.375Z,2026-08-08T22:07:21.375794Z,2026-08-09T00:07:21.375794Z,7364.578744,7,216.05,4.6285582041191535,1.9870609981515635,0.046,78.83211678832117,4.6285582041191535,55.354167590754805,3,1,2,0,-0.3333,False
BONK,2026-08-08T22:07:27.379Z,2026-08-08T22:07:27.379493Z,2026-08-09T00:07:27.379493Z,7358.575045,7,2.485e-06,40.24144869215253,4.3999999999999915,0.806,76.27737226277372,40.24144869215253,56.427942800437386,10,8,0,2,0.6,False
COOKIE,2026-08-08T22:07:39.591Z,2026-08-08T22:07:39.592242Z,2026-08-09T00:07:39.592242Z,7346.362296,7,0.013399999999999999,149.253731343284,24.786324786324798,24.468,78.46715328467154,149.253731343284,76.58845606841808,5,3,1,1,1.0,False
CRV,2026-08-08T22:07:46.489Z,2026-08-08T22:07:46.489456Z,2026-08-09T00:07:46.489456Z,7339.465082,7,0.22694999999999999,4.406256884777121,8.036890645586302,7.813,73.35766423357664,4.406256884777121,70.16690141453545,3,3,0,0,1.0,False
DOT,2026-08-08T22:07:55.583Z,2026-08-08T22:07:55.583590Z,2026-08-09T00:07:55.583590Z,7330.370948,7,0.8145,12.277470841006762,1.958384332925325,0.369,77.37226277372262,12.277470841006762,67.63328959960145,6,5,0,1,0.0,False
DYDX,2026-08-08T22:08:03.076Z,2026-08-08T22:08:03.076378Z,2026-08-09T00:08:03.076378Z,7322.87816,7,0.11527499999999999,13.012361743656244,4.131731351024294,2.826,83.21167883211679,13.012361743656244,62.67716347458554,0,0,0,0,,False
HBAR,2026-08-08T22:08:28.556Z,2026-08-08T22:08:28.556717Z,2026-08-09T00:08:28.556717Z,7297.397821,7,0.06898499999999999,1.4495904906858195,3.1651972828443378,2.065,81.75182481751825,1.4495904906858195,73.73688568821933,3,2,0,1,0.3333,False
JUP,2026-08-08T22:08:47.811Z,2026-08-08T22:08:47.811285Z,2026-08-09T00:08:47.811285Z,7278.143253,7,0.18425,5.427408412482441,3.2555615843733072,1.208,84.67153284671532,5.427408412482441,47.19928053464218,68,24,40,4,0.25,False
OP,2026-08-08T22:09:01.092Z,2026-08-08T22:09:01.093215Z,2026-08-09T00:09:01.093215Z,7264.861323,7,0.08875,11.267605633803141,3.9370078740157513,3.372,74.45255474452554,11.267605633803141,68.29443428509417,0,0,0,0,,False
ORDI,2026-08-08T22:09:09.693Z,2026-08-08T22:09:09.693892Z,2026-08-09T00:09:09.693892Z,7256.260646,7,3.4619999999999997,5.77700751011041,9.799360279150909,5.653,81.38686131386861,5.77700751011041,76.8174307848423,2,2,0,0,1.0,False
S,2026-08-08T22:09:50.993Z,2026-08-08T22:09:50.994041Z,2026-08-09T00:09:50.994041Z,7214.960497,7,0.023719999999999998,8.431703204048338,9.617861743237436,6.25,82.48175182481752,8.431703204048338,80.24549942251559,1,0,0,1,1.0,False
VANRY,2026-08-08T22:10:16.802Z,2026-08-08T22:10:16.802586Z,2026-08-09T00:10:16.802586Z,7789.300393,7,0.003212,49.81320049813322,13.310685608400247,-5.487,76.64233576642336,49.81320049813322,50.44065621947173,45,10,31,4,0.0,False
ZBT,2026-08-08T22:10:41.735Z,2026-08-08T22:10:41.735665Z,2026-08-09T00:10:41.735665Z,7764.367314,7,0.1052,19.011406844107007,16.890595009596936,-12.876,82.84671532846716,19.011406844107007,53.51067235692628,0,0,0,0,,False
ASTER,2026-08-08T22:16:38.859Z,2026-08-08T22:16:38.859277Z,2026-08-09T00:16:38.859277Z,7407.243702,7,0.6025,16.597510373444,1.9769357495881403,1.167,62.043795620437955,16.597510373444,49.36334129902896,1,1,0,0,1.0,False
EDEN,2026-08-08T22:17:27.072Z,2026-08-08T22:17:27.072242Z,2026-08-09T00:17:27.072242Z,7359.030737,7,0.042679999999999996,18.744142455483527,14.986313868613138,5.639,65.32846715328468,18.744142455483527,42.80571452721575,0,0,0,0,,False
FLOKI,2026-08-08T22:17:42.935Z,2026-08-08T22:17:42.936118Z,2026-08-09T00:17:42.936118Z,7343.166861,7,2.1125e-05,4.7337278106500404,2.6452527161077066,1.05,58.394160583941606,4.7337278106500404,57.51321141166535,11,7,3,1,0.9091,False
GALA,2026-08-08T22:17:49.663Z,2026-08-08T22:17:49.664119Z,2026-08-09T00:17:49.664119Z,7336.43886,7,0.0018124999999999999,5.517241379309881,5.118326912493119,3.533,66.78832116788321,5.517241379309881,52.57291915716575,0,0,0,0,,False
HEMI,2026-08-08T22:17:55.947Z,2026-08-08T22:17:55.947934Z,2026-08-09T00:17:55.947934Z,7330.155045,7,0.00549,36.42987249544636,7.918968692449352,4.223,59.85401459854015,36.42987249544636,67.00165522259333,0,0,0,0,,False
HMSTR,2026-08-08T22:18:01.500Z,2026-08-08T22:18:01.500819Z,2026-08-09T00:18:01.500819Z,7324.60216,7,0.00021759999999999998,55.14705882352951,15.097945532728147,4.912,63.503649635036496,55.14705882352951,75.72152824231472,0,0,0,0,,False
