symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
ETH,2026-06-13T21:54:22.867Z,2026-06-13T21:54:22.867396Z,2026-06-13T23:54:22.867396Z,7542.898852,7,1680.915,0.05949140795335222,1.6080719843429305,0.543,99.65277777777777,0.05949140795335222,67.38898588196552,24,12,9,3,0.7083,False
FDUSD,2026-06-13T21:54:28.138Z,2026-06-13T21:54:28.138987Z,2026-06-13T23:54:28.138987Z,7537.627261,7,0.99815,1.00185342884325,0.030060120240477654,-0.01,91.66666666666667,1.00185342884325,59.401809059403895,0,0,0,0,,
FET,2026-06-13T21:54:33.600Z,2026-06-13T21:54:33.600566Z,2026-06-13T23:54:33.600566Z,7532.165682,7,0.20785,4.811161895597257,13.711240310077516,9.554,94.09722222222223,4.811161895597257,80.56940955206055,19,7,11,1,0.8947,False
ICP,2026-06-13T21:54:44.511Z,2026-06-13T21:54:44.511676Z,2026-06-13T23:54:44.511676Z,7521.254572,7,2.5060000000000002,7.980845969673678,14.430973797418858,12.743,95.13888888888889,7.980845969673678,83.90112552044813,61,48,13,0,0.8689,False
INJ,2026-06-13T21:54:49.636Z,2026-06-13T21:54:49.637149Z,2026-06-13T23:54:49.637149Z,7516.129099,7,5.2725,5.6899004267427475,8.050847457627121,1.051,89.58333333333333,5.6899004267427475,55.24537768779688,12,9,1,2,0.5,False
PEPE,2026-06-13T21:55:10.172Z,2026-06-13T21:55:10.172909Z,2026-06-13T23:55:10.172909Z,7495.593339,7,2.8549999999999998e-06,35.02626970227786,3.5087719298245577,1.064,97.91666666666667,35.02626970227786,69.31931038761438,12,11,1,0,0.8333,False
SEI,2026-06-13T21:55:25.622Z,2026-06-13T21:55:25.622774Z,2026-06-13T23:55:25.622774Z,7480.143474,7,0.054459999999999995,3.672420124862135,8.830062939651988,4.771,89.93055555555556,3.672420124862135,75.99900086186727,16,10,6,0,1.0,False
SOL,2026-06-13T21:55:31.164Z,2026-06-13T21:55:31.164263Z,2026-06-13T23:55:31.164263Z,7474.601985,7,68.92500000000001,1.4508523757715073,3.30651060716897,2.259,98.61111111111111,1.4508523757715073,71.93798278408836,23,18,3,2,0.9565,False
SUI,2026-06-13T21:55:36.833Z,2026-06-13T21:55:36.833768Z,2026-06-13T23:55:36.833768Z,7468.93248,7,0.76795,1.302168109902845,4.076015727391861,1.652,95.83333333333333,1.302168109902845,68.52192899874608,7,3,3,1,0.5714,False
SUSHI,2026-06-13T21:55:44.054Z,2026-06-13T21:55:44.054800Z,2026-06-13T23:55:44.054800Z,7461.711448,7,0.1757,56.91519635742748,3.7895927601810016,2.85,2.0833333333333335,56.91519635742748,51.875367447147475,14,12,2,0,1.0,False
TAO,2026-06-13T21:55:49.341Z,2026-06-13T21:55:49.341658Z,2026-06-13T23:55:49.341658Z,7456.42459,7,262.85,3.804451207911961,25.991362387122113,19.69,98.95833333333333,3.804451207911961,78.27343726484735,35,16,16,3,0.5143,False
TRUMP,2026-06-13T21:55:55.562Z,2026-06-13T21:55:55.562856Z,2026-06-13T23:55:55.562856Z,7450.203392,7,2.1875,4.571428571430098,14.479638009049786,6.046,97.22222222222223,4.571428571430098,65.52453258614554,60,48,11,1,0.9167,False
USD1,2026-06-13T21:56:07.232Z,2026-06-13T21:56:07.232284Z,2026-06-13T23:56:07.232284Z,7438.533964,7,1.00055,0.9994503023336063,0.05997001499249715,0.01,99.30555555555556,0.9994503023336063,70.11706977632707,0,0,0,0,,
VELODROME,2026-06-13T21:56:14.450Z,2026-06-13T21:56:14.450828Z,2026-06-13T23:56:14.450828Z,7431.31542,7,0.0139,14.388489208633755,3.443328550932565,0.505,2.7777777777777777,14.388489208633755,58.6890506209627,0,0,0,0,,
WLD,2026-06-13T21:56:19.596Z,2026-06-13T21:56:19.596541Z,2026-06-13T23:56:19.596541Z,7426.169707,7,0.5016499999999999,5.980265125088768,16.35926222935043,7.361,96.875,5.980265125088768,76.46307344697063,10,5,2,3,0.4,False
XLM,2026-06-13T21:56:25.549Z,2026-06-13T21:56:25.549801Z,2026-06-13T23:56:25.549801Z,7420.216447,7,0.18705,5.346164127238118,4.657387580299793,-1.788,92.36111111111111,5.346164127238118,61.81454432295887,62,22,37,3,0.4516,False
XPL,2026-06-13T21:56:30.789Z,2026-06-13T21:56:30.790025Z,2026-06-13T23:56:30.790025Z,7414.976223,7,0.08704999999999999,11.487650775416757,16.87429218573046,4.994,92.70833333333333,11.487650775416757,70.92162499830965,16,6,10,0,1.0,False
XRP,2026-06-13T21:56:36.903Z,2026-06-13T21:56:36.903452Z,2026-06-13T23:56:36.903452Z,7408.862796,7,1.15055,0.8691495371777758,2.8277186245418036,1.121,96.52777777777777,0.8691495371777758,65.678535624119,24,12,8,4,0.9167,False
ZEC,2026-06-13T21:56:43.027Z,2026-06-13T21:56:43.027850Z,2026-06-13T23:56:43.027850Z,7402.738398,7,420.895,2.61347842098418,4.089744510691278,0.714,98.26388888888889,2.61347842098418,71.5256158308258,19,5,11,3,0.0,False
BIO,2026-06-13T22:02:21.048Z,2026-06-13T22:02:21.048329Z,2026-06-14T00:02:21.048329Z,7662.690059,7,0.032185,9.321112319404149,11.735639283508332,5.852,86.45833333333333,9.321112319404149,70.23343659455546,0,0,0,0,,
CRV,2026-06-13T22:02:26.751Z,2026-06-13T22:02:26.751580Z,2026-06-14T00:02:26.751580Z,7656.986808,7,0.23645,4.22922393740702,5.962521294718915,-1.469,87.5,4.22922393740702,65.43636420263674,2,1,1,0,1.0,False
EPIC,2026-06-13T22:02:31.957Z,2026-06-13T22:02:31.957430Z,2026-06-14T00:02:31.957430Z,7651.780958,7,0.5335000000000001,18.744142455482674,23.308270676691727,-1.299,88.19444444444444,18.744142455482674,62.602065243083544,1,0,0,1,-1.0,False
LINK,2026-06-13T22:02:41.582Z,2026-06-13T22:02:41.582668Z,2026-06-14T00:02:41.582668Z,7642.15572,7,7.9605,1.256202499843394,2.8252134605725834,1.31,86.80555555555556,1.256202499843394,66.06978536430692,21,12,6,3,0.4286,False
OP,2026-06-13T22:02:47.166Z,2026-06-13T22:02:47.167051Z,2026-06-14T00:02:47.167051Z,7636.571337,7,0.10665,9.376465072667873,12.639405204460969,6.852,87.84722222222223,9.376465072667873,75.31325733690936,11,3,7,1,0.4545,False
PENGU,2026-06-13T22:02:52.709Z,2026-06-13T22:02:52.709666Z,2026-06-14T00:02:52.709666Z,7631.028722,7,0.006771,2.953773445577116,4.583333333333335,0.149,88.88888888888889,2.953773445577116,61.136152852523075,5,2,2,1,-0.2,False
AAVE,2026-06-13T22:08:33.819Z,2026-06-13T22:08:33.819232Z,2026-06-14T00:08:33.819232Z,7289.919156,7,67.12,2.979737783074496,5.415162454873649,2.847,81.94444444444444,2.979737783074496,71.51862096265678,4,3,0,1,0.5,False
