symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
APE,2026-06-06T21:53:49.293Z,2026-06-06T21:53:49.294065Z,2026-06-06T23:53:49.294065Z,7575.173492,7,0.12175,8.21355236139654,13.160100586756071,-5.091,73.70242214532873,8.21355236139654,62.31694739080186,12,10,1,1,0.6667,False
BANK,2026-06-06T21:54:14.463Z,2026-06-06T21:54:14.464148Z,2026-06-06T23:54:14.464148Z,7550.003409,7,0.0298,67.11409395973114,31.067961165048548,32.051,78.89273356401384,67.11409395973114,81.6190521854951,9,6,2,1,0.6667,False
PAXG,2026-06-06T21:55:46.633Z,2026-06-06T21:55:46.633786Z,2026-06-06T23:55:46.633786Z,7457.833771,7,4298.475,0.814242260335245,1.1339221215016393,-0.825,76.47058823529412,0.814242260335245,59.16485300777227,33,20,4,9,0.9394,False
RUNE,2026-06-06T21:56:04.199Z,2026-06-06T21:56:04.200047Z,2026-06-06T23:56:04.200047Z,7440.26751,7,0.3225,31.007751937984523,11.746031746031758,-3.963,76.8166089965398,31.007751937984523,55.87285912050739,22,17,1,4,0.9091,False
SEI,2026-06-06T21:56:09.967Z,2026-06-06T21:56:09.967604Z,2026-06-06T23:56:09.967604Z,7434.499953,7,0.04693,8.523332623055268,9.012690901269089,-3.025,85.81314878892734,8.523332623055268,52.21334971870397,4,2,1,1,0.5,False
TRB,2026-06-06T21:56:39.901Z,2026-06-06T21:56:39.901265Z,2026-06-06T23:56:39.901265Z,7404.566292,7,12.795,7.81555295037246,8.675078864353324,-3.354,74.74048442906575,7.81555295037246,65.0546256681638,16,12,0,4,1.0,False
HUMA,2026-06-06T22:03:54.574Z,2026-06-06T22:03:54.574822Z,2026-06-07T00:03:54.574822Z,7569.603228,7,0.02348,8.517887563883809,9.365558912386716,4.984,64.01384083044982,8.517887563883809,78.22868240702482,25,19,1,5,0.84,False
S,2026-06-06T22:05:01.631Z,2026-06-06T22:05:01.632097Z,2026-06-07T00:05:01.632097Z,7502.545953,7,0.02955,13.53637901861197,9.333333333333332,-3.082,67.47404844290658,13.53637901861197,68.13044795311545,0,0,0,0,,
SAGA,2026-06-06T22:05:08.902Z,2026-06-06T22:05:08.902734Z,2026-06-07T00:05:08.902734Z,7495.275316,7,0.01355,14.760147601475413,13.431734317343178,-3.421,67.82006920415225,14.760147601475413,58.996043779970684,11,6,0,5,0.8182,False
SOMI,2026-06-06T22:05:23.361Z,2026-06-06T22:05:23.361532Z,2026-06-07T00:05:23.361532Z,7480.816518,7,0.10965,9.119927040583937,11.552680221811457,-5.088,65.7439446366782,9.119927040583937,64.88640498254793,1,0,0,1,1.0,False
