symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
1000CHEEMS,2026-07-25T21:55:36.229Z,2026-07-25T21:55:36.229945Z,2026-07-25T23:55:36.229945Z,7470.711751,7,0.0004525,22.099447513812695,2.6431718061674054,0.665,47.857142857142854,22.099447513812695,62.250620601257495,15,4,10,1,0.0,False
AR,2026-07-25T21:55:42.314Z,2026-07-25T21:55:42.314817Z,2026-07-25T23:55:42.314817Z,7464.626879,7,1.8545,16.176867080076107,3.48712446351931,1.58,52.5,16.176867080076107,73.95336440944303,0,0,0,0,,
CAKE,2026-07-25T21:56:12.757Z,2026-07-25T21:56:12.757750Z,2026-07-25T23:56:12.757750Z,7434.183946,7,1.4024999999999999,7.1301247771844,1.2847965738758043,0.864,50.714285714285715,7.1301247771844,75.3135739361348,0,0,0,0,,
CKB,2026-07-25T21:56:33.846Z,2026-07-25T21:56:33.847133Z,2026-07-25T23:56:33.847133Z,7413.094563,7,0.0008945,11.179429849076756,9.677419354838717,2.743,51.785714285714285,11.179429849076756,56.08367619922211,2,2,0,0,1.0,False
GIGGLE,2026-07-25T21:56:46.694Z,2026-07-25T21:56:46.694638Z,2026-07-25T23:56:46.694638Z,7400.247058,7,26.045,11.518525628718598,5.127231295100652,3.093,53.57142857142857,11.518525628718598,59.142954341226734,0,0,0,0,,
KAIA,2026-07-25T21:57:00.311Z,2026-07-25T21:57:00.311306Z,2026-07-25T23:57:00.311306Z,7386.63039,7,0.02985,33.50083752093782,5.387205387205389,-4.194,43.214285714285715,33.50083752093782,54.26367060281553,0,0,0,0,,
KITE,2026-07-25T21:57:13.348Z,2026-07-25T21:57:13.348942Z,2026-07-25T23:57:13.348942Z,7373.592754,7,0.1041,19.21229586935694,6.166982922201145,-4.182,57.142857142857146,19.21229586935694,63.48780833143498,0,0,0,0,,
LISTA,2026-07-25T21:57:20.711Z,2026-07-25T21:57:20.711228Z,2026-07-25T23:57:20.711228Z,7366.230468,7,0.05,39.99999999999976,16.80497925311204,7.35,49.285714285714285,39.99999999999976,75.00270666974531,0,0,0,0,,
ORCA,2026-07-25T21:57:46.901Z,2026-07-25T21:57:46.901618Z,2026-07-25T23:57:46.901618Z,7340.040078,7,1.1825,8.456659619451264,2.616033755274273,1.979,45.714285714285715,8.456659619451264,56.32436337857333,1,0,1,0,1.0,False
PNUT,2026-07-25T21:58:01.946Z,2026-07-25T21:58:01.946493Z,2026-07-25T23:58:01.946493Z,7324.995203,7,0.04195,23.8379022646014,7.600950118764834,4.988,43.57142857142857,23.8379022646014,71.1678492198493,65,18,44,3,0.0462,False
PYTH,2026-07-25T21:58:09.575Z,2026-07-25T21:58:09.575520Z,2026-07-25T23:58:09.575520Z,7317.366176,7,0.042615,11.732957878679924,4.903105300023359,-2.924,56.785714285714285,11.732957878679924,45.436383856185685,0,0,0,0,,
RESOLV,2026-07-25T21:58:16.667Z,2026-07-25T21:58:16.667483Z,2026-07-25T23:58:16.667483Z,7310.274213,7,0.018805000000000002,5.317734645040995,4.0533333333333355,0.59,52.857142857142854,5.317734645040995,54.434458712151326,0,0,0,0,,
RSR,2026-07-25T21:58:30.401Z,2026-07-25T21:58:30.401758Z,2026-07-25T23:58:30.401758Z,7296.539938,7,0.0012185,8.206811653673638,2.7709861450692714,1.91,54.285714285714285,8.206811653673638,72.62449289083037,1,0,1,0,1.0,False
S,2026-07-25T21:58:36.993Z,2026-07-25T21:58:36.993240Z,2026-07-25T23:58:36.993240Z,7289.948456,7,0.023445,12.795905310301661,2.339430029774557,0.0,47.5,12.795905310301661,60.83987231816149,0,0,0,0,,
SNX,2026-07-25T21:58:43.731Z,2026-07-25T21:58:43.731783Z,2026-07-25T23:58:43.731783Z,7283.209913,7,0.2135,46.838407494145244,2.803738317757012,-1.382,45.0,46.838407494145244,41.84210830106091,0,0,0,0,,
SPK,2026-07-25T21:58:51.005Z,2026-07-25T21:58:51.006084Z,2026-07-25T23:58:51.006084Z,7275.935612,7,0.0167405,11.349720737135485,2.7969096244834324,-1.725,47.142857142857146,11.349720737135485,59.99235939734844,63,22,37,4,0.3651,False
SXT,2026-07-25T21:58:56.531Z,2026-07-25T21:58:56.532216Z,2026-07-25T23:58:56.532216Z,7270.40948,7,0.006605,45.42013626040824,17.727272727272727,-6.383,45.357142857142854,45.42013626040824,52.17047603204165,1,0,1,0,1.0,False
