symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
KERNEL,2026-02-28T21:55:23.998Z,2026-02-28T21:55:23.999098Z,2026-02-28T23:55:23.999098Z,7784.658902,7,0.08015,12.476606363067871,14.082687338501284,-9.048,49.12280701754386,12.476606363067871,61.81572672485081,2,2,0,0,1.0,False
MEME,2026-02-28T21:55:38.399Z,2026-02-28T21:55:38.400322Z,2026-02-28T23:55:38.400322Z,7770.257678,7,0.0006015,16.62510390689982,11.092436974789912,-2.619,52.98245614035088,16.62510390689982,68.9146959832904,62,39,21,2,0.8065,False
MMT,2026-02-28T21:55:43.949Z,2026-02-28T21:55:43.949475Z,2026-02-28T23:55:43.949475Z,7764.708525,7,0.11915,8.39278220730196,9.198312236286926,-1.496,54.73684210526316,8.39278220730196,57.81197543406457,1,0,1,0,1.0,False
NOT,2026-02-28T21:55:56.100Z,2026-02-28T21:55:56.100435Z,2026-02-28T23:55:56.100435Z,7752.557565,7,0.0003615,27.66251728907398,12.499999999999996,-4.865,50.87719298245614,27.66251728907398,67.69544604459277,4,3,1,0,0.5,False
ORCA,2026-02-28T21:56:04.482Z,2026-02-28T21:56:04.482654Z,2026-02-28T23:56:04.482654Z,7744.175346,7,0.905,22.099447513812173,7.649667405764974,1.121,48.421052631578945,22.099447513812173,63.143751611443925,4,4,0,0,1.0,False
RED,2026-02-28T21:56:27.590Z,2026-02-28T21:56:27.590847Z,2026-02-28T23:56:27.590847Z,7721.067153,7,0.1513,13.218770654329527,13.866666666666678,-8.369,45.26315789473684,13.218770654329527,61.5328921254886,0,0,0,0,,
RESOLV,2026-02-28T21:56:33.107Z,2026-02-28T21:56:33.107572Z,2026-02-28T23:56:33.107572Z,7715.550428,7,0.06025,16.59751037344446,5.500000000000008,-0.332,49.473684210526315,16.59751037344446,69.12965078924037,0,0,0,0,,
SAPIEN,2026-02-28T21:56:39.642Z,2026-02-28T21:56:39.642779Z,2026-02-28T23:56:39.642779Z,7709.015221,7,0.08665,11.540680900173442,12.399540757749717,-5.94,44.21052631578947,11.540680900173442,51.58193959026825,1,0,1,0,1.0,False
STEEM,2026-02-28T21:56:57.571Z,2026-02-28T21:56:57.571354Z,2026-02-28T23:56:57.571354Z,7691.086646,7,0.05835,17.13796058269115,22.183098591549292,-6.116,53.68421052631579,17.13796058269115,53.00898060153939,3,2,1,0,1.0,False
TLM,2026-02-28T21:57:08.524Z,2026-02-28T21:57:08.524746Z,2026-02-28T23:57:08.524746Z,7680.133254,7,0.0016265,18.444512757455772,18.34061135371179,-1.354,55.43859649122807,18.444512757455772,66.791035066809,0,0,0,0,,
TREE,2026-02-28T21:57:21.168Z,2026-02-28T21:57:21.168887Z,2026-02-28T23:57:21.168887Z,7667.489113,7,0.07135,14.015416958654923,12.164073550212159,-2.348,45.6140350877193,14.015416958654923,64.41049886571628,0,0,0,0,,
AUCTION,2026-02-28T21:58:17.875Z,2026-02-28T21:58:17.876245Z,2026-02-28T23:58:17.876245Z,7610.781755,7,4.855,20.597322348096135,6.211180124223599,0.0,37.19298245614035,20.597322348096135,70.25063188286157,0,0,0,0,,
