symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
1INCH,2026-08-29T21:52:51.530Z,2026-08-29T21:52:51.530698Z,2026-08-29T23:52:51.530698Z,7634.472251,7,0.0883,22.65005662514221,1.3574660633484237,1.144,6.367041198501872,22.65005662514221,70.05544416403143,0,0,0,0,,True
ACT,2026-08-29T21:53:08.919Z,2026-08-29T21:53:08.919703Z,2026-08-29T23:53:08.919703Z,7617.083246,7,0.010950000000000001,36.52968036529689,5.73770491803279,0.366,0.37453183520599254,36.52968036529689,55.7586913699361,0,0,0,0,,False
AIXBT,2026-08-29T21:53:15.707Z,2026-08-29T21:53:15.707960Z,2026-08-29T23:53:15.707960Z,7610.294989,7,0.020839999999999997,28.79078694817708,5.306718597857825,2.189,2.247191011235955,28.79078694817708,62.93624976002222,1,0,1,0,1.0,False
AT,2026-08-29T21:53:20.552Z,2026-08-29T21:53:20.552931Z,2026-08-29T23:53:20.552931Z,7605.450018,7,0.1326,30.165912518854558,3.7735849056603805,-1.046,1.4981273408239701,30.165912518854558,55.769519747225246,0,0,0,0,,False
BTC,2026-08-29T21:53:52.169Z,2026-08-29T21:53:52.169334Z,2026-08-29T23:53:52.169334Z,7573.833615,7,78232.83499999999,0.0012782356659785255,1.4050544953374733,0.965,100.0,0.0012782356659785255,69.80873299519456,33,15,16,2,0.3939,False
CGPT,2026-08-29T21:53:58.972Z,2026-08-29T21:53:58.972620Z,2026-08-29T23:53:58.972620Z,7567.030329,7,0.019825000000000002,15.132408575030908,1.5052684395383926,-0.2,6.741573033707865,15.132408575030908,41.519468218980506,0,0,0,0,,False
DOGS,2026-08-29T21:54:05.370Z,2026-08-29T21:54:05.370297Z,2026-08-29T23:54:05.370297Z,7560.632652,7,3.95e-05,10.126582278480916,1.982210927573052,0.0,10.112359550561798,10.126582278480916,59.00947136165268,0,0,0,0,,False
NOT,2026-08-29T21:55:03.041Z,2026-08-29T21:55:03.042093Z,2026-08-29T23:55:03.042093Z,7502.960856,7,0.0004065,24.600246002460622,3.465346534653455,-1.222,2.6217228464419478,24.600246002460622,44.59481706900758,0,0,0,0,,False
NXPC,2026-08-29T21:55:09.678Z,2026-08-29T21:55:09.678758Z,2026-08-29T23:55:09.678758Z,7496.324191,7,0.20729999999999998,19.295706705257295,3.6626506024096366,-1.612,9.363295880149813,19.295706705257295,40.977395952312364,0,0,0,0,,False
PROVE,2026-08-29T21:55:14.841Z,2026-08-29T21:55:14.842294Z,2026-08-29T23:55:14.842294Z,7491.160655,7,0.1691,11.827321111766882,1.5966883500887097,1.44,5.992509363295881,11.827321111766882,69.82747523687533,0,0,0,0,,False
SOL,2026-08-29T21:55:20.036Z,2026-08-29T21:55:20.036655Z,2026-08-29T23:55:20.036655Z,7485.966294,7,105.595,0.9470145366722766,2.6893471443504686,1.466,99.25093632958801,0.9470145366722766,64.7735568044203,24,12,7,5,0.625,False
SUI,2026-08-29T21:55:24.673Z,2026-08-29T21:55:24.673295Z,2026-08-29T23:55:24.673295Z,7481.329654,7,0.74495,1.3423719712730922,2.3371390194761545,0.772,97.00374531835206,1.3423719712730922,62.03977520360076,11,7,3,1,0.6364,False
SXT,2026-08-29T21:55:30.916Z,2026-08-29T21:55:30.916884Z,2026-08-29T23:55:30.916884Z,7475.086065,7,0.008405,11.89767995241086,3.3452807646355915,2.073,4.868913857677903,11.89767995241086,61.30612584285622,0,0,0,0,,False
TRUMP,2026-08-29T21:55:35.455Z,2026-08-29T21:55:35.455155Z,2026-08-29T23:55:35.455155Z,7470.547794,7,2.6775,3.7348272642386173,17.537313432835827,2.173,97.75280898876404,3.7348272642386173,56.29258717713576,3,2,0,1,-0.3333,False
TURTLE,2026-08-29T21:55:42.214Z,2026-08-29T21:55:42.215113Z,2026-08-29T23:55:42.215113Z,7463.787836,7,0.042249999999999996,23.668639053253475,5.687203791469193,2.427,1.1235955056179776,23.668639053253475,49.628261157188,1,0,1,0,-1.0,False
